channel,band,comparison,beta,p,p_fdr,significant
F8,Delta,COM vs TD,0.04345507744198354,0.7611718648477679,0.9999999352048242,False
F8,Theta,ADHD vs TD,0.13500148987109628,0.2537162270132566,0.9999999352048242,False
F8,Theta,COM vs TD,-0.02365439945134382,0.8368446478846563,0.9999999352048242,False
F8,Alpha,ADHD vs TD,0.028907664187332312,0.8395149485060635,0.9999999352048242,False
F8,Alpha,COM vs TD,-0.06051413268835103,0.662438634867754,0.9999999352048242,False
F8,Beta,ADHD vs TD,0.03566724688843845,0.7698788922231794,0.9999999352048242,False
F8,Beta,COM vs TD,-0.07431992517879227,0.5301989771012798,0.9999999352048242,False
F8,Gamma,ADHD vs TD,0.0951417219146627,0.47339720523261064,0.9999999352048242,False
F8,Gamma,COM vs TD,-0.12484336652906966,0.33270931070974075,0.9999999352048242,False
F9,Delta,ADHD vs TD,0.014136975392126216,0.92111294110215,0.9999999352048242,False
F9,Delta,COM vs TD,-0.032963658908019264,0.8120645590575443,0.9999999352048242,False
F9,Theta,ADHD vs TD,0.007114415382609131,0.9537968840443077,0.9999999352048242,False
F9,Theta,COM vs TD,-0.057387758932147336,0.6303282849308717,0.9999999352048242,False
F9,Alpha,ADHD vs TD,-0.04408493882953942,0.7558411269286135,0.9999999352048242,False
F9,Alpha,COM vs TD,-0.04492796893977119,0.7441802462280664,0.9999999352048242,False
F9,Beta,ADHD vs TD,0.05220511120608836,0.6934829563146778,0.9999999352048242,False
F9,Beta,COM vs TD,0.008152182630771115,0.9494652115437479,0.9999999352048242,False
